filename	NoteIdx	Note
PKS2155-304-20170907@174019-R_30508.fts	1	nowcs
PKS2155-304-20170907@174412-R_30508.fts	1	nowcs
OJ248-20170926@205654-R_30508.fts	1	nowcs
S5_0716+71-20171029@191411-R_30508.fts	1	nowcs
OJ287-20171029@193607-R_30508.fts	1	nowcs
OJ248-20171029@192940-R_30508.fts	1	nowcs
4C71-07-20171029@203743-R_30508.fts	1	nowcs
S4_0954+65-20171029@204110-R_30508.fts	1	nowcs
OJ49-20171029@193951-R_30508.fts	1	nowcs
4C29-45-20171029@205526-R_30508.fts	1	nowcs
OJ49-20171029@202912-R_30508.fts	1	nowcs
S4_0954+65-20171029@204418-R_30508.fts	1	nowcs
ON231-20171029@210524-R_30508.fts	1	nowcs
AO0235+16-20171029@190218-R_30508.fts	1	nowcs
PKS0735+17-20171029@191854-R_30508.fts	1	nowcs
Mkn421-20171029@204813-R_30508.fts	1	nowcs
OJ248-20171029@192608-R_30508.fts	1	nowcs
ON231-20171029@210215-R_30508.fts	1	nowcs
3C66A-20171029@185825-R_30508.fts	1	nowcs
PKS0735+17-20171029@192225-R_30508.fts	1	nowcs
3C66A-20171029@185453-R_30508.fts	1	nowcs
4C71-07-20171029@203411-R_30508.fts	1	nowcs
OJ287-20171029@193258-R_30508.fts	1	nowcs
AO0235+16-20171029@190548-R_30508.fts	1	nowcs
S5_0716+71-20171029@191040-R_30508.fts	1	nowcs
4C29-45-20171029@205857-R_30508.fts	1	nowcs
PKS0735+17-20171028@181012-R_30508.fts	1	nowcs
S5_0716+71-20171028@180216-R_30508.fts	1	nowcs
OJ287-20171028@182723-R_30508.fts	1	nowcs
S4_0954+65-20171028@184546-R_30508.fts	1	nowcs
AO0235+16-20171028@175405-R_30508.fts	1	nowcs
S5_0716+71-20171028@180546-R_30508.fts	1	nowcs
AO0235+16-20171028@175736-R_30508.fts	1	nowcs
4C71-07-20171028@184220-R_30508.fts	1	nowcs
ES2344+514-20171028@174230-R_30508.fts	1	nowcs
OJ248-20171028@181725-R_30508.fts	1	nowcs
PKS0735+17-20171028@181343-R_30508.fts	1	nowcs
OJ248-20171028@182056-R_30508.fts	1	nowcs
OJ49-20171028@183106-R_30508.fts	1	nowcs
3C66A-20171028@174625-R_30508.fts	1	nowcs
OJ287-20171028@182414-R_30508.fts	1	nowcs
