ID|DateObs|TimeObs|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2017-09-05|15:34:55|3C371-20170905@153434-R_30508_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1021.8124|979.1843|R_30508|2458002.149247685|180.0|20.7348|6.5488|2862.0000|2.0397
2|2017-09-05|15:38:07|3C371-20170905@153807-R_30508_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1022.0975|978.9497|R_30508|2458002.1514699073|180.0|20.7114|6.3398|2862.0000|2.0572
3|2017-09-05|15:57:19|3C454-3-20170905@155719-R_30508_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1017.6038|1030.2513|R_30508|2458002.164803241|180.0|20.0910|5.4140|2862.0000|1.0087
4|2017-09-05|16:00:30|3C454-3-20170905@160030-R_30508_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1018.2238|1028.1812|R_30508|2458002.1670138887|180.0|20.1326|5.0077|2862.0000|1.0092
5|2017-09-05|16:21:56|3C66A-20170905@162135-R_30508_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1044.9847|892.0756|R_30508|2458002.1818981483|180.0|21.1981|4.5208|2862.0000|1.3238
6|2017-09-05|16:25:09|3C66A-20170905@162509-R_30508_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1044.4852|892.4239|R_30508|2458002.1841319446|180.0|21.1439|4.9466|2862.0000|1.3125
7|2017-09-05|15:27:39|4C51-37-20170905@152717-R_30508_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|954.9970|938.0166|R_30508|2458002.144201389|180.0|20.8206|5.2034|2862.0000|2.0922
8|2017-09-05|15:30:50|4C51-37-20170905@153050-R_30508_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|955.5336|936.8435|R_30508|2458002.146412037|180.0|20.7681|6.4316|2862.0000|2.1258
9|2017-09-05|16:29:23|AO0235+16-20170905@162901-R_30508_calib.fits|AO0235+16|02 38 38.90|+16 36 59.0|39.6621|16.6164|1017.8281|1020.8865|R_30508|2458002.1870717593|180.0|20.8694|6.2787|2862.0000|1.3773
10|2017-09-05|16:32:34|AO0235+16-20170905@163234-R_30508_calib.fits|AO0235+16|02 38 38.90|+16 36 59.0|39.6621|16.6164|1017.6355|1021.3002|R_30508|2458002.1892824075|180.0|20.9355|5.9356|2862.0000|1.3610
11|2017-09-05|15:50:50|CTA102-20170905@155029-R_30508_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1018.8568|913.0350|R_30508|2458002.160300926|180.0|20.3271|4.3825|2862.0000|1.0260
12|2017-09-05|15:54:02|CTA102-20170905@155402-R_30508_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1018.7786|911.7973|R_30508|2458002.162523148|180.0|20.2835|4.4880|2862.0000|1.0275
13|2017-09-05|16:14:17|ES2344+514-20170905@161355-R_30508_calib.fits|ES2344+514|23 47 04.80|+51 42 18.0|356.7700|51.7050|1023.2674|1029.1973|R_30508|2458002.176585648|180.0|21.1898|5.6843|2862.0000|1.1410
14|2017-09-05|16:17:29|ES2344+514-20170905@161729-R_30508_calib.fits|ES2344+514|23 47 04.80|+51 42 18.0|356.7700|51.7050|1022.6789|1033.0918|R_30508|2458002.1788078705|180.0|21.2667|4.4041|2862.0000|1.1398
15|2017-09-05|16:05:43|L-Lacertae-20170905@160521-R_30508_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1051.2429|989.0760|R_30508|2458002.1706365743|180.0|20.9832|4.8320|2862.0000|1.0916
16|2017-09-05|16:08:53|L-Lacertae-20170905@160853-R_30508_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|1051.0085|986.6411|R_30508|2458002.172835648|180.0|20.9918|4.7412|2862.0000|1.0951
17|2017-09-05|15:43:18|PKS2155-304-20170905@154256-R_30508_calib.fits|PKS2155-304|21 58 52.00|-30 13 32.0|329.7167|-30.2256|1024.4560|1021.2667|R_30508|2458002.1550694443|180.0|20.5537|4.5766|2862.0000|1.7369
18|2017-09-05|15:46:30|PKS2155-304-20170905@154630-R_30508_calib.fits|PKS2155-304|21 58 52.00|-30 13 32.0|329.7167|-30.2256|1026.6981|1019.1077|R_30508|2458002.1572916666|180.0|20.5457|5.0191|2862.0000|1.7444
